,client_id,end,run_id,start,success
0,0,1527848486944.4546,0,1527848418649.4546,True
1,0,1527848591516.0908,1,1527848515216.0908,True
2,0,1527848672522.6365,2,1527848607046.6365,True
3,0,1527848767117.5454,3,1527848701665.5454,True
4,0,1527848877838.0,4,1527848801905.0,True
5,0,1527848979075.182,5,1527848912313.182,True
6,0,1527849024988.0908,6,1527848960693.0908,True
7,0,1527849125199.7273,7,1527849055178.7273,True
8,0,1527849211456.182,8,1527849145815.182,True
9,0,1527849315370.2727,9,1527849240964.2727,True
10,0,1527849410143.7273,10,1527849345348.7273,True
11,0,1527849524287.3635,11,1527849456199.3635,True
12,0,1527849618209.4546,12,1527849553081.4546,True
13,0,1527849728932.7273,13,1527849662970.7273,True
14,0,1527849833018.818,14,1527849763060.818,True
15,0,1527849926331.818,15,1527849861224.818,True
16,0,1527850027741.5454,16,1527849962614.5454,True
17,0,1527850124277.6365,17,1527850057878.6365,True
18,0,1527850221763.182,18,1527850157059.182,True
19,0,1527850335222.0908,19,1527850269656.0908,True
20,0,1527850447581.5454,20,1527850382019.5454,True
21,0,1527850552264.0,21,1527850487830.0,True
22,0,1527850679213.7273,22,1527850613791.7273,True
23,0,1527850802526.7273,23,1527850737171.7273,True
24,0,1527850904538.182,24,1527850838266.182,True
25,0,1527851012048.0908,25,1527850941077.0908,True
26,0,1527851103513.0908,26,1527851038542.0908,True
27,0,1527851201897.0,27,1527851136055.0,True
28,0,1527851301508.0,28,1527851225166.0,True
29,0,1527851409666.818,29,1527851330336.818,True
30,0,1527851496956.6365,30,1527851425858.6365,True
31,0,1527851607326.6365,31,1527851543337.6365,True
32,0,1527851711780.182,32,1527851645032.182,True
33,0,1527851808013.2727,33,1527851732013.2727,True
34,0,1527851891999.2727,34,1527851825836.2727,True
35,0,1527851993861.818,35,1527851926203.818,True
36,0,1527852086630.0908,36,1527852021300.0908,True
37,0,1527852175695.5454,37,1527852110439.5454,True
38,0,1527852270186.2727,38,1527852205386.2727,True
39,0,1527852357947.0908,39,1527852291421.0908,True
40,0,1527852437196.3635,40,1527852372142.3635,True
41,0,1527852525866.0908,41,1527852460322.0908,True
42,0,1527852609484.2727,42,1527852543396.2727,True
43,0,1527852704656.182,43,1527852638853.182,True
44,0,1527852787499.0,44,1527852722408.0,True
45,0,1527852873216.818,45,1527852807612.818,True
46,0,1527852958791.2727,46,1527852891778.2727,True
47,0,1527853048489.182,47,1527852979607.182,True
48,0,1527853133938.0,48,1527853068465.0,True
49,0,1527853218257.818,49,1527853153588.818,True
50,0,1527853305647.6365,50,1527853240820.6365,True
51,0,1527853389023.5454,51,1527853323667.5454,True
52,0,1527853481477.0908,52,1527853416866.0908,True
53,0,1527853573734.4546,53,1527853508688.4546,True
54,0,1527853673552.182,54,1527853607320.182,True
55,0,1527853760088.6365,55,1527853694023.6365,True
56,0,1527853837857.0908,56,1527853773135.0908,True
57,0,1527853929079.0908,57,1527853862929.0908,True
58,0,1527854017068.2727,58,1527853951185.2727,True
59,0,1527854111114.5454,59,1527854040269.5454,True
60,0,1527854204475.2727,60,1527854137317.2727,True
61,0,1527854298840.3635,61,1527854231032.3635,True
62,0,1527854391739.182,62,1527854323575.182,True
63,0,1527854486729.4546,63,1527854418043.4546,True
64,0,1527854591596.182,64,1527854523103.182,True
65,0,1527854690237.182,65,1527854620942.182,True
66,0,1527854782423.6365,66,1527854713278.6365,True
67,0,1527854875444.7273,67,1527854805568.7273,True
68,0,1527855003021.5454,68,1527854932353.5454,True
69,0,1527855170596.182,69,1527855079396.182,True
70,0,1527855258445.182,70,1527855189364.182,True
71,0,1527855392051.182,71,1527855322745.182,True
72,0,1527855534560.9092,72,1527855466007.9092,True
73,0,1527855685507.7273,73,1527855613597.7273,True
74,0,1527855793957.0908,74,1527855718087.0908,True
75,0,1527855905245.6365,75,1527855826574.6365,True
76,0,1527856003804.7273,76,1527855935234.7273,True
