cpu_load,mem_avail,timestamp
30.1,29371789312,1526415786334.4854
27.5,29371351040,1526415786532.4136
26.8,29369470976,1526415786730.1707
27.5,29369856000,1526415786929.6482
26.9,29369753600,1526415787129.7832
28.8,29370802176,1526415787329.7805
26.6,29370306560,1526415787529.882
27.8,29370798080,1526415787730.016
29.7,29370863616,1526415787929.8108
26.6,29370261504,1526415788129.8855
26.6,29369868288,1526415788329.754
25.5,29370372096,1526415788529.9592
27.0,29369835520,1526415788729.689
27.5,29369991168,1526415788930.102
29.7,29369446400,1526415789129.887
26.1,29369946112,1526415789329.8374
27.5,29370294272,1526415789530.072
26.1,29369278464,1526415789729.8826
26.4,29369335808,1526415789930.0276
25.2,29369548800,1526415790129.798
25.2,29371203584,1526415790329.8489
26.8,29369868288,1526415790529.827
29.8,29369262080,1526415790729.7598
31.7,29370286080,1526415790929.4792
28.0,29370318848,1526415791129.6338
28.8,29369970688,1526415791330.4167
28.0,29370253312,1526415791530.2708
26.9,29370875904,1526415791729.9175
34.4,29370171392,1526415791929.936
32.1,29370621952,1526415792130.2852
27.5,29370429440,1526415792329.7534
25.6,29370044416,1526415792530.5618
26.1,29370331136,1526415792730.0696
23.7,29370159104,1526415792929.6477
29.6,29370032128,1526415793129.7612
27.0,29370187776,1526415793329.8333
29.2,29369708544,1526415793529.634
27.2,29370245120,1526415793729.9849
26.6,29369946112,1526415793929.6406
25.6,29369450496,1526415794129.6812
27.5,29369958400,1526415794329.7207
27.0,29369409536,1526415794529.8337
31.4,29371277312,1526415794729.8845
26.1,29370380288,1526415794929.5361
25.2,29369901056,1526415795130.3389
28.4,29369802752,1526415795330.0586
27.5,29369495552,1526415795529.9016
27.0,29370368000,1526415795730.0027
30.2,29370118144,1526415795929.7732
26.1,29369856000,1526415796130.1646
25.2,29370589184,1526415796329.7375
28.8,29370368000,1526415796529.6445
26.1,29369618432,1526415796729.9912
30.5,29370949632,1526415796930.2107
30.3,29370753024,1526415797130.024
24.2,29369864192,1526415797330.107
25.6,29369991168,1526415797529.5972
25.2,29370929152,1526415797729.883
28.2,29370863616,1526415797929.7537
31.2,29370966016,1526415798129.4194
30.8,29369991168,1526415798329.6587
31.3,29370150912,1526415798529.6377
28.1,29369356288,1526415798729.6985
25.2,29370900480,1526415798929.768
26.6,29370929152,1526415799129.7627
24.3,29369937920,1526415799329.8425
28.0,29370273792,1526415799529.4482
28.6,29370707968,1526415799729.5632
27.3,29369647104,1526415799930.344
28.9,29370396672,1526415800129.5803
33.1,29369470976,1526415800329.6472
28.2,29370175488,1526415800529.5547
28.0,29369413632,1526415800730.023
26.6,29370363904,1526415800929.5676
28.0,29370138624,1526415801129.7354
26.4,29370417152,1526415801329.6636
26.6,29370183680,1526415801530.0125
26.6,29373964288,1526415801729.7017
25.3,29374513152,1526415801929.5186
27.5,29375787008,1526415802129.8792
26.9,29374029824,1526415802329.9614
27.0,29375102976,1526415802529.7825
28.0,29373849600,1526415802729.5547
28.4,29375037440,1526415802929.726
29.7,29374939136,1526415803129.7139
36.4,29374406656,1526415803329.734
31.9,29373468672,1526415803529.8535
26.5,29375115264,1526415803729.6926
27.3,29375254528,1526415803929.8516
28.4,29373980672,1526415804129.6772
25.6,29375275008,1526415804329.6787
27.5,29374443520,1526415804529.6472
29.3,29375107072,1526415804729.74
29.7,29374574592,1526415804929.8252
28.4,29374816256,1526415805130.0918
28.7,29374750720,1526415805329.8455
25.0,29375225856,1526415805529.7356
26.9,29374279680,1526415805729.733
29.7,29374185472,1526415805929.7366
26.6,29375213568,1526415806129.6973
26.5,29373898752,1526415806329.9048
26.1,29374808064,1526415806530.0078
26.9,29375692800,1526415806729.8376
28.8,29374308352,1526415806929.673
26.6,29375606784,1526415807129.6638
28.4,29375254528,1526415807329.9187
28.0,29375029248,1526415807529.9067
28.7,29374341120,1526415807730.1943
28.8,29374828544,1526415807929.8223
27.0,29375488000,1526415808129.5857
27.5,29375516672,1526415808329.7068
30.6,29374906368,1526415808529.6272
32.5,29374627840,1526415808729.6013
27.0,29375090688,1526415808929.7441
26.9,29374898176,1526415809129.4705
28.0,29375717376,1526415809329.5908
24.2,29374271488,1526415809529.7012
24.5,29375328256,1526415809729.88
27.5,29375602688,1526415809929.554
26.9,29374996480,1526415810129.7976
26.1,29374877696,1526415810329.669
29.7,29374189568,1526415810530.0132
28.8,29376888832,1526415810729.946
27.3,29374447616,1526415810929.8062
26.1,29375238144,1526415811129.9846
26.1,29374631936,1526415811329.8154
27.5,29374529536,1526415811529.7422
25.9,29374779392,1526415811730.1348
25.3,29383757824,1526415811929.8145
