cpu_load,mem_avail,timestamp
38.4,28941836288,1526525775877.5547
11.9,28941455360,1526525776076.9966
9.7,28941455360,1526525776274.7815
13.6,28941193216,1526525776474.7048
13.0,28941193216,1526525776674.654
9.6,28941193216,1526525776874.7444
9.1,28949266432,1526525777074.7507
13.0,28949266432,1526525777274.7253
10.3,28948885504,1526525777474.82
17.0,28941582336,1526525777674.9072
34.4,28936851456,1526525777875.0989
37.2,28942508032,1526525778075.1284
35.3,28943032320,1526525778275.0798
35.1,28942942208,1526525778475.106
35.7,28942819328,1526525778675.1162
39.1,28944388096,1526525778875.1196
38.2,28945321984,1526525779075.0754
36.1,28944556032,1526525779274.9746
30.8,28944859136,1526525779475.0024
27.5,28944138240,1526525779675.0398
26.5,28940247040,1526525779874.947
28.1,28943654912,1526525780074.8926
29.2,28940316672,1526525780274.968
33.1,28939722752,1526525780475.1384
36.4,28942172160,1526525780675.419
42.1,28942127104,1526525780875.274
39.9,28937826304,1526525781075.23
38.7,28942004224,1526525781274.9792
39.6,28941520896,1526525781475.273
41.4,28937814016,1526525781675.2786
47.8,28932493312,1526525781875.255
44.2,28932247552,1526525782075.0876
29.7,28939350016,1526525782275.13
26.4,28935794688,1526525782474.9358
37.3,28928782336,1526525782675.2583
48.7,28932550656,1526525782875.3267
47.5,28928761856,1526525783075.3188
44.3,28931743744,1526525783275.0093
44.0,28931088384,1526525783475.157
45.2,28937789440,1526525783675.2617
39.0,28927729664,1526525783875.4282
43.8,28931010560,1526525784075.1675
46.2,28928630784,1526525784275.2388
44.9,28929019904,1526525784475.3096
49.4,28931444736,1526525784675.3318
46.9,28928184320,1526525784875.0642
32.1,28934627328,1526525785074.8833
31.2,28931907584,1526525785274.9463
36.7,28935065600,1526525785475.1086
40.6,28927569920,1526525785675.3093
47.4,28927311872,1526525785875.3127
47.4,28927459328,1526525786075.1797
46.8,28926316544,1526525786275.1238
45.3,28929376256,1526525786475.115
31.4,28925272064,1526525786675.118
42.3,28924006400,1526525786875.1904
