cpu_load,mem_avail,timestamp
48.1,28823515136,1526389585802.47
35.0,28821196800,1526389586001.8933
38.1,28822589440,1526389586198.1072
43.0,28818944000,1526389586398.3396
43.5,28822405120,1526389586598.398
44.2,28822384640,1526389586798.0295
39.0,28819046400,1526389586998.3054
41.6,28823019520,1526389587201.5674
38.0,28822638592,1526389587398.793
41.1,28823171072,1526389587598.1526
37.0,28822253568,1526389587798.2048
38.1,28822061056,1526389587998.2808
34.7,28821991424,1526389588198.1624
36.9,28821594112,1526389588398.1782
36.8,28821684224,1526389588598.384
37.2,28822167552,1526389588797.942
36.8,28821815296,1526389588998.5012
47.1,28818690048,1526389589198.6396
50.7,28815224832,1526389589398.425
51.9,28815912960,1526389589598.852
53.5,28814614528,1526389589798.1821
54.3,28818771968,1526389589998.4587
55.6,28812337152,1526389590198.4968
61.9,28814725120,1526389590398.2275
45.8,28814249984,1526389590598.2573
46.8,28811689984,1526389590798.4
50.6,28811079680,1526389591001.8474
52.4,28807557120,1526389591198.8008
59.2,28811194368,1526389591398.139
55.3,28808306688,1526389591602.0264
56.8,28811014144,1526389591798.402
57.7,28810407936,1526389591998.5295
57.6,28811190272,1526389592198.8237
54.4,28810657792,1526389592398.2397
54.4,28810252288,1526389592602.093
50.7,28812263424,1526389592798.247
53.7,28812865536,1526389593001.548
51.6,28810100736,1526389593209.5613
60.5,28810731520,1526389593402.7078
61.7,28813185024,1526389593602.5344
66.2,28812435456,1526389593801.6812
69.8,28812648448,1526389594000.4053
65.1,28812283904,1526389594201.0195
65.1,28812709888,1526389594398.3396
69.5,28812926976,1526389594602.0823
61.9,28817637376,1526389594798.5095
62.8,28816584704,1526389594999.6677
59.5,28817612800,1526389595201.5742
60.4,28816535552,1526389595398.3838
54.4,28819210240,1526389595598.2703
57.0,28812189696,1526389595798.7612
60.9,28811239424,1526389596000.2932
53.2,28811223040,1526389596198.3464
48.0,28813746176,1526389596398.5698
48.7,28811661312,1526389596598.2305
52.0,28814221312,1526389596798.6328
53.3,28810735616,1526389597003.205
59.6,28811026432,1526389597199.5344
64.1,28802215936,1526389597398.608
69.2,28796997632,1526389597602.0044
60.8,28797210624,1526389597799.6436
67.8,28786204672,1526389597998.1816
61.1,28784689152,1526389598198.135
56.4,28786839552,1526389598398.199
54.4,28780949504,1526389598601.9146
60.6,28812451840,1526389598798.4722
60.5,28814692352,1526389598998.2576
61.7,28812558336,1526389599198.9355
60.3,28812566528,1526389599398.3125
52.9,28815200256,1526389599598.2632
57.7,28812140544,1526389599800.7302
70.3,28814417920,1526389599998.5486
64.2,28813275136,1526389600203.1616
60.3,28812496896,1526389600398.5579
51.7,28813357056,1526389600598.8389
67.5,28812988416,1526389600798.2695
59.4,28815994880,1526389600998.2668
61.4,28815994880,1526389601198.197
62.9,28811055104,1526389601398.5068
66.5,28811145216,1526389601598.282
68.3,28807495680,1526389601806.0986
63.6,28807753728,1526389601998.0437
66.4,28811137024,1526389602198.3127
60.3,28810756096,1526389602399.857
63.7,28813758464,1526389602598.9812
70.4,28807667712,1526389602798.31
66.2,28812886016,1526389602998.3645
64.2,28816076800,1526389603198.38
58.8,28816035840,1526389603398.437
62.1,28815839232,1526389603598.266
60.4,28816232448,1526389603800.0645
60.9,28816556032,1526389603998.2932
61.8,28811034624,1526389604198.316
59.9,28808462336,1526389604398.4438
62.3,28809433088,1526389604602.055
63.9,28808790016,1526389604798.6953
60.1,28812349440,1526389604998.4937
63.2,28810625024,1526389605198.911
63.2,28811603968,1526389605398.5952
65.4,28808921088,1526389605598.3306
60.8,28811489280,1526389605798.3186
64.5,28807032832,1526389605998.4604
59.5,28810993664,1526389606198.512
65.6,28810670080,1526389606398.9822
66.7,28813762560,1526389606598.1768
64.4,28811743232,1526389606801.8857
57.0,28812394496,1526389606998.4265
58.3,28811526144,1526389607202.1091
54.7,28810715136,1526389607398.4282
61.1,28812673024,1526389607598.2998
56.0,28811337728,1526389607798.0051
53.3,28813660160,1526389607998.3354
62.2,28812455936,1526389608198.5613
57.5,28814426112,1526389608401.627
58.9,28814503936,1526389608598.6208
60.1,28815376384,1526389608802.1921
57.9,28814565376,1526389608998.3484
60.9,28813905920,1526389609199.3528
60.4,28814536704,1526389609401.4705
50.0,28816240640,1526389609598.2644
58.2,28813889536,1526389609798.3489
66.3,28813754368,1526389609998.917
64.0,28813529088,1526389610205.576
62.8,28816052224,1526389610398.3564
65.0,28813066240,1526389610598.42
59.2,28815360000,1526389610798.2554
59.6,28814700544,1526389611002.4983
66.0,28812619776,1526389611198.5354
68.4,28812984320,1526389611398.427
62.7,28814548992,1526389611605.5417
69.7,28811972608,1526389611802.2478
63.5,28815179776,1526389612001.8252
59.7,28812214272,1526389612198.6047
63.6,28816654336,1526389612398.6072
56.8,28815884288,1526389612602.4028
54.4,28817547264,1526389612799.3406
54.5,28817743872,1526389612999.1377
55.3,28818669568,1526389613201.97
56.9,28817903616,1526389613398.7278
53.3,28817317888,1526389613598.3914
58.3,28814721024,1526389613798.3896
58.0,28818067456,1526389613998.2756
59.9,28815245312,1526389614201.3945
54.5,28817653760,1526389614398.1946
64.9,28815802368,1526389614598.8398
58.7,28817764352,1526389614798.5059
59.5,28817698816,1526389614998.603
57.7,28818972672,1526389615198.2463
61.1,28816162816,1526389615398.2747
56.9,28815134720,1526389615602.2932
60.6,28812648448,1526389615798.2444
60.7,28816130048,1526389615998.0466
60.6,28813799424,1526389616198.9368
56.3,28813889536,1526389616400.901
56.3,28812648448,1526389616601.8901
49.3,28816203776,1526389616798.4663
55.8,28815548416,1526389616998.0955
58.6,28815335424,1526389617198.1382
56.3,28815446016,1526389617404.8325
58.3,28816416768,1526389617598.245
55.4,28814606336,1526389617798.256
58.5,28814860288,1526389618001.5718
56.0,28815155200,1526389618198.1216
56.8,28814643200,1526389618401.6348
51.7,28815331328,1526389618598.7915
51.9,28821868544,1526389618802.1885
50.0,28822691840,1526389618999.6443
57.8,28813406208,1526389619198.57
57.3,28812308480,1526389619397.9954
55.6,28810043392,1526389619598.14
54.4,28810567680,1526389619798.8315
48.3,28813627392,1526389619998.3762
47.5,28810539008,1526389620200.9282
58.2,28810919936,1526389620401.271
51.6,28813418496,1526389620598.2617
48.1,28813103104,1526389620802.2012
49.7,28813135872,1526389620998.5156
60.2,28811567104,1526389621202.1494
69.4,28812308480,1526389621401.5906
63.6,28809035776,1526389621601.5845
65.1,28811722752,1526389621798.2756
62.6,28812226560,1526389621998.095
62.6,28812107776,1526389622198.4968
64.0,28808630272,1526389622399.4666
61.2,28812021760,1526389622605.5925
60.6,28812414976,1526389622805.6624
59.7,28815175680,1526389622998.4106
60.3,28813967360,1526389623198.2317
60.8,28814807040,1526389623398.5046
62.7,28814520320,1526389623602.1802
62.6,28818132992,1526389623798.5325
57.1,28815519744,1526389623998.2454
60.4,28814782464,1526389624198.2795
54.8,28815679488,1526389624405.5527
59.4,28817420288,1526389624602.4465
63.9,28814221312,1526389624798.3042
58.1,28816683008,1526389624998.508
62.3,28817039360,1526389625202.0044
63.0,28816756736,1526389625401.6455
64.7,28815089664,1526389625598.118
61.1,28815392768,1526389625799.1233
58.2,28817485824,1526389625998.4583
59.2,28814069760,1526389626198.3394
58.6,28814249984,1526389626398.6794
59.9,28813520896,1526389626598.3442
58.1,28817145856,1526389626798.9895
61.0,28814000128,1526389626998.0027
62.3,28818276352,1526389627198.2559
56.1,28817494016,1526389627398.552
58.0,28817174528,1526389627598.512
57.2,28818124800,1526389627798.352
55.8,28817096704,1526389627998.3318
57.6,28813623296,1526389628198.2605
54.2,28813852672,1526389628398.3562
55.3,28813942784,1526389628598.2043
53.6,28813398016,1526389628799.5193
56.4,28813623296,1526389628998.4443
57.4,28814090240,1526389629198.328
57.0,28813811712,1526389629398.3328
59.0,28813271040,1526389629598.2397
57.2,28813881344,1526389629798.382
60.0,28814430208,1526389629998.1604
56.6,28813594624,1526389630198.9136
57.5,28812238848,1526389630398.4456
55.5,28811542528,1526389630598.1667
54.7,28812267520,1526389630798.4932
52.2,28812345344,1526389631000.6316
50.7,28812447744,1526389631197.9392
63.6,28809867264,1526389631398.3215
63.7,28810162176,1526389631598.5002
45.7,28813496320,1526389631798.3582
