,client_id,end,run_id,start,success
0,0,1526378478967.0,0,1526378416691.0,True
1,0,1526378557289.818,1,1526378494919.818,True
2,0,1526378631118.0908,2,1526378568855.0908,True
3,0,1526378706789.182,3,1526378644630.182,True
4,0,1526378776376.9092,4,1526378713958.9092,True
5,0,1526378852503.818,5,1526378790379.818,True
6,0,1526378929268.7273,6,1526378866838.7273,True
7,0,1526378998032.2727,7,1526378935726.2727,True
8,0,1526379072384.6365,8,1526379009998.6365,True
9,0,1526379143133.3635,9,1526379080758.3635,True
10,0,1526379219111.818,10,1526379156638.818,True
11,0,1526379289054.182,11,1526379226578.182,True
12,0,1526379365442.3635,12,1526379303058.3635,True
13,0,1526379439397.0,13,1526379376898.0,True
14,0,1526379509832.9092,14,1526379447558.9092,True
15,0,1526379585816.0908,15,1526379523427.0908,True
16,0,1526379658720.0,16,1526379596308.0,True
17,0,1526379734338.818,17,1526379671916.818,True
18,0,1526379805092.0908,18,1526379742777.0908,True
19,0,1526379881445.4546,19,1526379818972.4546,True
20,0,1526379960286.5454,20,1526379897916.5454,True
21,0,1526380036384.0,21,1526379974000.0,True
22,0,1526380114968.818,22,1526380052635.818,True
23,0,1526380189100.182,23,1526380126886.182,True
24,0,1526380263333.4546,24,1526380201225.4546,True
25,0,1526380341028.9092,25,1526380278635.9092,True
26,0,1526380414796.0908,26,1526380352366.0908,True
27,0,1526380490262.3635,27,1526380428045.3635,True
28,0,1526380564713.9092,28,1526380502384.9092,True
29,0,1526380635024.6365,29,1526380572781.6365,True
30,0,1526380710377.0908,30,1526380648104.0908,True
31,0,1526380789164.0,31,1526380726845.0,True
32,0,1526380867106.182,32,1526380804875.182,True
33,0,1526380943130.2727,33,1526380880755.2727,True
34,0,1526381018597.0908,34,1526380956222.0908,True
35,0,1526381088652.2727,35,1526381026185.2727,True
36,0,1526381163709.5454,36,1526381101424.5454,True
37,0,1526381236600.7273,37,1526381174380.7273,True
38,0,1526381311260.9092,38,1526381249092.9092,True
39,0,1526381388466.0908,39,1526381326243.0908,True
40,0,1526381466491.7273,40,1526381404123.7273,True
41,0,1526381542291.818,41,1526381480002.818,True
42,0,1526381616731.3635,42,1526381554343.3635,True
43,0,1526381693311.4546,43,1526381631142.4546,True
44,0,1526381766237.7273,44,1526381703752.7273,True
45,0,1526381839994.9092,45,1526381777892.9092,True
46,0,1526381910915.182,46,1526381848442.182,True
47,0,1526381986895.818,47,1526381924756.818,True
48,0,1526382062230.6365,48,1526381999991.6365,True
49,0,1526382140598.6365,49,1526382078331.6365,True
50,0,1526382217981.3635,50,1526382155642.3635,True
51,0,1526382292685.7273,51,1526382230092.7273,True
52,0,1526382362929.9092,52,1526382300339.9092,True
53,0,1526382438059.0908,53,1526382375901.0908,True
54,0,1526382509965.818,54,1526382447590.818,True
55,0,1526382584625.3635,55,1526382521930.3635,True
56,0,1526382660283.9092,56,1526382598011.9092,True
57,0,1526382732475.4546,57,1526382670201.4546,True
58,0,1526382809483.7273,58,1526382747011.7273,True
59,0,1526382880523.2727,59,1526382818280.2727,True
60,0,1526382958064.7273,60,1526382895689.7273,True
61,0,1526383036713.818,61,1526382974339.818,True
62,0,1526383109474.0,62,1526383047140.0,True
63,0,1526383180424.4546,63,1526383118109.4546,True
64,0,1526383250054.9092,64,1526383187739.9092,True
65,0,1526383319854.2727,65,1526383257579.2727,True
66,0,1526383395628.818,66,1526383333348.818,True
67,0,1526383469971.818,67,1526383407698.818,True
68,0,1526383542123.7273,68,1526383479778.7273,True
69,0,1526383620292.5454,69,1526383558018.5454,True
70,0,1526383691911.2727,70,1526383628568.2727,True
71,0,1526383766033.0908,71,1526383703738.0908,True
72,0,1526383841797.4546,72,1526383779408.4546,True
73,0,1526383912852.5454,73,1526383850666.5454,True
74,0,1526383985076.9092,74,1526383922867.9092,True
75,0,1526384062572.818,75,1526384000075.818,True
76,0,1526384137311.4546,76,1526384074838.4546,True
77,0,1526384215742.182,77,1526384153165.182,True
78,0,1526384287092.0908,78,1526384224747.0908,True
79,0,1526384361062.182,79,1526384298677.182,True
80,0,1526384436838.3635,80,1526384374556.3635,True
81,0,1526384508314.4546,81,1526384446146.4546,True
82,0,1526384582378.3635,82,1526384520076.3635,True
83,0,1526384652814.4546,83,1526384590527.4546,True
84,0,1526384728301.9092,84,1526384665786.9092,True
85,0,1526384806538.7273,85,1526384744125.7273,True
86,0,1526384876240.3635,86,1526384813756.3635,True
87,0,1526384954159.5454,87,1526384891787.5454,True
88,0,1526385030522.4546,88,1526384968175.4546,True
89,0,1526385104294.818,89,1526385041906.818,True
90,0,1526385181647.0908,90,1526385119425.0908,True
91,0,1526385256023.6365,91,1526385193764.6365,True
92,0,1526385325257.9092,92,1526385262984.9092,True
93,0,1526385401139.6365,93,1526385338891.6365,True
94,0,1526385476255.818,94,1526385413825.818,True
95,0,1526385549056.3635,95,1526385486634.3635,True
96,0,1526385624076.0,96,1526385561764.0,True
97,0,1526385699116.818,97,1526385636744.818,True
98,0,1526385771220.0,98,1526385708944.0,True
99,0,1526385841156.6365,99,1526385778792.6365,True
