cpu_load,mem_avail,timestamp
44.7,27626516480,1527519227132.4114
21.9,27623948288,1527519227332.4255
24.8,27619344384,1527519227530.4036
30.5,27621691392,1527519227730.1094
29.3,27622060032,1527519227930.1335
33.1,27619336192,1527519228130.1772
31.8,27618832384,1527519228330.1692
38.3,27618783232,1527519228530.2693
40.3,27614961664,1527519228730.4033
32.0,27620347904,1527519228930.1218
36.8,27619024896,1527519229130.3105
39.5,27618787328,1527519229330.1533
37.9,27619160064,1527519229530.2075
37.9,27618926592,1527519229730.2515
35.3,27618619392,1527519229930.0532
34.8,27617198080,1527519230130.0054
41.2,27614040064,1527519230330.189
38.3,27613331456,1527519230530.2368
45.2,27609939968,1527519230730.4675
49.4,27612852224,1527519230930.3794
47.5,27611451392,1527519231130.51
45.5,27612004352,1527519231330.4614
49.7,27606056960,1527519231530.424
50.6,27603099648,1527519231730.355
50.3,27599986688,1527519231930.5051
50.9,27600556032,1527519232130.3152
50.9,27600588800,1527519232330.3489
50.6,27599831040,1527519232530.3716
51.2,27600855040,1527519232730.435
51.6,27598839808,1527519232930.4163
50.0,27596873728,1527519233130.4136
51.9,27595182080,1527519233330.4224
53.1,27589640192,1527519233530.3948
50.6,27593203712,1527519233730.417
50.9,27592466432,1527519233930.3806
49.7,27596394496,1527519234130.3079
50.9,27600293888,1527519234330.2986
48.4,27596070912,1527519234530.3552
50.9,27585990656,1527519234730.3396
50.9,27582914560,1527519234930.389
50.6,27579654144,1527519235130.49
51.6,27584774144,1527519235330.3677
50.6,27584024576,1527519235530.3455
51.2,27588427776,1527519235730.441
50.6,27584028672,1527519235930.3528
50.9,27584786432,1527519236130.3774
51.2,27579793408,1527519236330.3604
50.3,27581341696,1527519236530.3682
51.2,27579666432,1527519236730.4912
50.9,27582369792,1527519236930.3286
50.9,27581972480,1527519237130.4666
50.6,27581394944,1527519237330.3726
51.3,27584282624,1527519237530.306
50.6,27584323584,1527519237730.3823
50.3,27591184384,1527519237930.502
49.4,27584602112,1527519238130.358
50.3,27581358080,1527519238330.3423
