cpu_load,mem_avail,timestamp
30.9,29367775232,1526414091640.0925
25.6,29367316480,1526414091839.7346
26.9,29365821440,1526414092037.2908
27.5,29365338112,1526414092237.276
27.3,29365493760,1526414092437.2207
29.3,29366288384,1526414092637.2651
27.0,29366050816,1526414092837.3103
23.0,29365911552,1526414093037.4053
27.8,29365731328,1526414093237.355
28.4,29365903360,1526414093437.3696
25.2,29366575104,1526414093637.4836
23.0,29366140928,1526414093837.732
26.6,29366288384,1526414094037.2646
26.6,29366185984,1526414094237.3213
27.8,29365706752,1526414094437.5889
23.8,29366161408,1526414094637.4863
27.5,29366915072,1526414094837.5833
26.9,29366431744,1526414095037.4697
27.0,29365944320,1526414095237.4365
26.1,29365841920,1526414095437.5945
29.2,29365694464,1526414095637.4863
35.0,29366460416,1526414095837.508
29.8,29366804480,1526414096037.3853
26.1,29365010432,1526414096237.3242
26.6,29366046720,1526414096437.3438
29.7,29366075392,1526414096637.313
26.6,29365407744,1526414096837.1475
35.3,29366517760,1526414097037.5154
30.2,29365055488,1526414097237.4695
26.6,29366755328,1526414097437.4106
27.3,29365747712,1526414097637.329
27.5,29366816768,1526414097837.2844
26.1,29365956608,1526414098037.5835
26.5,29366054912,1526414098237.193
27.0,29364936704,1526414098437.216
30.1,29365088256,1526414098637.463
26.1,29365444608,1526414098837.6956
26.6,29367279616,1526414099037.449
26.1,29365989376,1526414099237.2378
27.5,29366226944,1526414099437.2556
26.4,29365866496,1526414099637.4287
29.9,29365645312,1526414099837.497
38.6,29362249728,1526414100037.2017
36.5,29362872320,1526414100237.2905
36.9,29363032064,1526414100437.4138
36.9,29362712576,1526414100637.3699
32.7,29365702656,1526414100837.31
39.0,29362036736,1526414101037.4136
37.7,29366464512,1526414101237.5461
30.7,29364858880,1526414101437.403
25.6,29363712000,1526414101637.2593
28.0,29363441664,1526414101837.147
26.6,29363838976,1526414102037.3755
28.8,29363216384,1526414102237.4111
27.0,29363679232,1526414102437.5647
26.6,29364506624,1526414102637.5989
31.9,29363802112,1526414102837.5315
28.1,29363445760,1526414103037.354
24.7,29363994624,1526414103237.387
30.1,29363097600,1526414103437.5225
26.1,29363712000,1526414103637.5784
26.6,29364867072,1526414103837.4126
24.2,29363875840,1526414104037.4407
30.2,29364289536,1526414104237.2947
28.8,29363556352,1526414104437.404
26.6,29363077120,1526414104637.2983
28.0,29363515392,1526414104837.1172
26.9,29364543488,1526414105037.3743
25.2,29369344000,1526414105237.3477
28.4,29368262656,1526414105437.277
26.1,29367537664,1526414105637.4507
28.7,29368778752,1526414105837.2292
26.3,29369122816,1526414106037.2166
27.6,29368782848,1526414106237.564
24.5,29368971264,1526414106437.1765
28.4,29368303616,1526414106637.338
25.6,29369036800,1526414106837.4883
26.6,29368696832,1526414107037.2336
25.0,29369221120,1526414107237.488
28.8,29368147968,1526414107437.3906
26.1,29367910400,1526414107637.3147
25.6,29368692736,1526414107837.6726
26.1,29369098240,1526414108037.5518
27.0,29368238080,1526414108237.4019
27.0,29368139776,1526414108437.503
25.8,29369188352,1526414108637.554
24.2,29368664064,1526414108837.4053
37.7,29366398976,1526414109037.4072
36.7,29371277312,1526414109237.7117
39.1,29366497280,1526414109437.428
30.8,29370163200,1526414109637.1292
24.2,29370388480,1526414109837.0732
27.0,29370286080,1526414110037.3933
25.9,29370621952,1526414110237.6262
26.0,29370142720,1526414110437.568
26.6,29370679296,1526414110637.3115
29.4,29370466304,1526414110837.9482
41.0,29367066624,1526414111037.6296
37.3,29370314752,1526414111237.935
32.7,29370691584,1526414111437.327
30.2,29370441728,1526414111637.439
29.7,29370478592,1526414111837.29
26.1,29370122240,1526414112037.1616
25.6,29370224640,1526414112237.6099
27.5,29370384384,1526414112437.5164
25.6,29370789888,1526414112637.3774
24.5,29370052608,1526414112837.1675
28.8,29370564608,1526414113037.291
26.6,29370126336,1526414113237.166
27.0,29370028032,1526414113437.1814
25.0,29371314176,1526414113637.728
29.3,29369847808,1526414113837.6362
27.3,29370142720,1526414114037.2793
28.4,29370785792,1526414114237.5002
28.4,29370699776,1526414114437.2314
25.2,29370736640,1526414114637.6274
29.1,29366837248,1526414114837.3606
35.0,29369405440,1526414115037.4143
31.9,29377323008,1526414115237.3018
27.5,29376962560,1526414115437.6992
28.0,29377753088,1526414115637.429
25.2,29376528384,1526414115837.6045
26.1,29377957888,1526414116037.4636
27.0,29376966656,1526414116237.437
27.5,29377884160,1526414116437.1824
29.3,29376897024,1526414116637.2898
26.6,29378068480,1526414116837.3804
28.8,29377806336,1526414117037.6592
27.0,29378015232,1526414117237.7717
31.9,29377351680,1526414117437.3103
26.6,29377417216,1526414117637.038
25.5,29377212416,1526414117837.3435
23.8,29377241088,1526414118037.3584
26.1,29377773568,1526414118237.2327
26.4,29377818624,1526414118437.4026
26.3,29377368064,1526414118637.5474
26.8,29377400832,1526414118837.4675
26.9,29378060288,1526414119037.3337
27.0,29376954368,1526414119237.3757
28.0,29378387968,1526414119437.466
25.6,29377269760,1526414119637.369
27.0,29377605632,1526414119837.4463
24.0,29378408448,1526414120037.7393
25.6,29378068480,1526414120237.1719
28.5,29377511424,1526414120437.4111
26.1,29377007616,1526414120637.2637
28.4,29377204224,1526414120837.0854
26.1,29378629632,1526414121037.3547
25.6,29377769472,1526414121237.1775
29.4,29378490368,1526414121437.5051
24.7,29378240512,1526414121637.53
24.7,29377523712,1526414121837.1887
27.0,29377966080,1526414122037.4897
25.0,29377097728,1526414122237.3767
30.2,29377974272,1526414122437.1917
31.0,29376512000,1526414122637.8015
25.2,29377028096,1526414122837.6245
28.0,29378076672,1526414123037.6921
25.8,29378232320,1526414123237.442
25.6,29376839680,1526414123437.1917
26.4,29377503232,1526414123637.5498
26.1,29377552384,1526414123837.5852
25.2,29377601536,1526414124037.6226
28.0,29377708032,1526414124237.4536
34.4,29376008192,1526414124437.5928
36.8,29375885312,1526414124637.53
30.7,29378945024,1526414124837.4197
25.6,29379100672,1526414125037.49
29.3,29387829248,1526414125237.344
25.6,29388353536,1526414125437.322
28.0,29388779520,1526414125637.2747
26.6,29388316672,1526414125837.4082
25.6,29388615680,1526414126037.7026
26.1,29388312576,1526414126237.3662
28.4,29389021184,1526414126437.2095
26.7,29389561856,1526414126638.0488
27.5,29388836864,1526414126837.383
26.1,29388845056,1526414127037.1455
26.1,29389307904,1526414127237.2825
27.0,29388259328,1526414127437.4766
25.9,29389582336,1526414127637.7764
24.7,29389078528,1526414127837.397
28.5,29388771328,1526414128037.303
38.4,29385445376,1526414128237.181
38.7,29385953280,1526414128437.2593
40.0,29388644352,1526414128637.3833
33.8,29385523200,1526414128837.5703
38.0,29388214272,1526414129037.4836
30.0,29389062144,1526414129237.3347
28.4,29387948032,1526414129437.5376
25.6,29389303808,1526414129637.514
24.7,29389737984,1526414129837.492
26.6,29388943360,1526414130037.1672
27.0,29387862016,1526414130237.493
26.1,29387689984,1526414130437.34
26.9,29388267520,1526414130637.3494
27.5,29388353536,1526414130837.5615
31.0,29388521472,1526414131037.4841
26.6,29388550144,1526414131237.4644
26.6,29389082624,1526414131437.0872
26.6,29388787712,1526414131637.493
27.5,29388431360,1526414131837.3584
25.2,29388931072,1526414132037.8281
32.5,29388365824,1526414132237.7358
33.3,29389717504,1526414132437.3933
32.3,29388939264,1526414132637.3616
24.3,29387497472,1526414132837.375
27.7,29385830400,1526414133037.1824
27.0,29387427840,1526414133237.1365
26.4,29387128832,1526414133437.3262
28.6,29386506240,1526414133637.339
28.2,29385793536,1526414133837.5598
31.9,29386960896,1526414134037.635
30.7,29386838016,1526414134237.631
27.0,29386194944,1526414134437.454
27.0,29386227712,1526414134637.363
29.3,29386121216,1526414134837.5312
25.6,29387800576,1526414135037.4324
30.6,29387030528,1526414135237.6133
31.7,29386178560,1526414135437.5942
24.7,29386825728,1526414135637.245
25.2,29387026432,1526414135837.4019
27.5,29386530816,1526414136037.7063
27.5,29387300864,1526414136237.6438
27.0,29386584064,1526414136437.417
25.5,29387878400,1526414136637.833
27.0,29386440704,1526414136837.3015
29.8,29385748480,1526414137037.385
32.5,29387587584,1526414137237.2935
28.4,29386665984,1526414137437.7253
24.5,29385404416,1526414137637.267
26.6,29386481664,1526414137837.1816
29.3,29386887168,1526414138037.348
27.0,29386354688,1526414138237.556
31.6,29384200192,1526414138437.265
40.2,29384122368,1526414138637.5708
28.5,29388460032,1526414138838.014
26.3,29387980800,1526414139037.3318
28.0,29389021184,1526414139237.6665
25.6,29388288000,1526414139437.3235
26.1,29388443648,1526414139637.3574
27.5,29387710464,1526414139837.2878
30.7,29388177408,1526414140037.4277
35.2,29385302016,1526414140237.8179
38.1,29388746752,1526414140437.2175
38.9,29385056256,1526414140637.1287
35.3,29385105408,1526414140837.3628
39.9,29384966144,1526414141037.3967
31.8,29389012992,1526414141237.433
28.9,29388787712,1526414141437.3296
31.3,29387706368,1526414141637.0898
24.7,29388410880,1526414141837.5854
26.6,29388021760,1526414142037.734
26.1,29389348864,1526414142237.6267
27.0,29388738560,1526414142437.5757
26.1,29389008896,1526414142637.7136
32.9,29387862016,1526414142837.22
31.6,29388058624,1526414143037.3557
30.9,29388886016,1526414143237.485
23.5,29387898880,1526414143437.6155
28.4,29388558336,1526414143637.3577
28.0,29388685312,1526414143837.3728
29.0,29388808192,1526414144037.206
25.9,29388058624,1526414144237.5435
27.7,29388730368,1526414144437.4312
25.9,29388505088,1526414144637.5015
35.4,29387792384,1526414144837.397
25.6,29387874304,1526414145037.2334
25.5,29387776000,1526414145237.5115
26.3,29388058624,1526414145437.5881
28.8,29388722176,1526414145637.521
24.3,29389385728,1526414145837.2485
34.9,29388972032,1526414146037.6719
26.9,29388058624,1526414146237.6362
23.7,29388115968,1526414146437.3337
26.6,29388292096,1526414146637.5374
25.2,29389168640,1526414146837.9568
25.6,29387591680,1526414147037.4456
